AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,CNT_FAM_MEMBERS,NAME_CONTRACT_TYPE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_RATING_CLIENT,REG_REGION_NOT_WORK_REGION,FLAG_OWN_CAR,FLAG_OWN_REALTY,TARGET
135000.0,412500.0,26110.0,-8715,-2116,4,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,Y,Y,0
290700.0,1036200.0,51210.0,-22919,-969,4,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
133900.0,411300.0,18740.0,-23188,-4330,3,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,N,0
225200.0,492600.0,22690.0,-20662,-1744,1,Cash loans,Commercial associate,Higher education,Widow,With parents,2,0,N,Y,0
48600.0,154100.0,10350.0,-12565,-304,2,Cash loans,State servant,Incomplete higher,Single / not married,House / apartment,2,0,N,N,0
493600.0,2097000.0,124780.0,-9239,-1220,1,Revolving loans,Commercial associate,Higher education,Married,House / apartment,3,0,N,Y,0
311100.0,693900.0,29910.0,-18666,-2643,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,1,0,Y,N,0
127700.0,467700.0,21310.0,-14743,-1882,3,Cash loans,Commercial associate,Higher education,Married,House / apartment,3,0,N,Y,0
54900.0,186800.0,10210.0,-9631,-3057,4,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,Y,Y,1
170100.0,650000.0,30810.0,-15628,-2531,3,Cash loans,Working,Secondary / secondary special,Married,House / apartment,3,0,N,Y,1
71500.0,157800.0,9920.0,-8222,-116,1,Cash loans,Commercial associate,Secondary / secondary special,Married,Rented apartment,2,0,Y,Y,0
184000.0,799000.0,45470.0,-22283,-217,1,Cash loans,Working,Secondary / secondary special,Married,House / apartment,3,0,N,Y,0
180900.0,628900.0,36430.0,-11829,-1915,4,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,N,0
92000.0,376000.0,20320.0,-18317,-497,3,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,N,0
257900.0,635900.0,30940.0,-12679,-1618,2,Cash loans,Pensioner,Higher education,Separated,House / apartment,3,1,N,N,0
220300.0,836400.0,47950.0,-16028,-2869,2,Cash loans,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,N,Y,0
239900.0,937700.0,56860.0,-16456,-1570,2,Cash loans,Working,Secondary / secondary special,Married,Rented apartment,2,0,N,N,1
147900.0,424900.0,21940.0,-10641,-980,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,3,0,N,Y,1
72600.0,205900.0,11350.0,-23252,-1897,2,Cash loans,Working,Higher education,Widow,House / apartment,2,0,Y,N,0
240100.0,858600.0,54810.0,-20127,-283,2,Revolving loans,Working,Higher education,Married,House / apartment,2,1,N,N,0
128600.0,263900.0,12100.0,-22768,-2345,2,Cash loans,Pensioner,Higher education,Married,House / apartment,3,0,N,Y,0
73500.0,278300.0,15630.0,-22051,-2180,1,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,N,1
289500.0,554600.0,28320.0,-17279,-1319,5,Cash loans,Pensioner,Secondary / secondary special,Single / not married,House / apartment,2,0,N,Y,0
420700.0,973700.0,58690.0,-22485,-596,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
144300.0,518500.0,22030.0,-9092,-2517,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,1,N,Y,0
433500.0,895400.0,53220.0,-10819,-1304,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,Y,Y,0
154100.0,681700.0,30460.0,-8397,-111,2,Revolving loans,Working,Higher education,Married,House / apartment,2,0,Y,N,0
121800.0,504800.0,22050.0,-12898,-4581,1,Cash loans,Pensioner,Secondary / secondary special,Married,House / apartment,3,0,N,N,0
107400.0,374900.0,22810.0,-13916,-2665,2,Cash loans,Working,Lower secondary,Married,House / apartment,3,0,Y,Y,0
333900.0,1339400.0,78550.0,-12031,-1605,1,Revolving loans,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,N,Y,0
99700.0,418400.0,27310.0,-20988,-1048,2,Cash loans,Pensioner,Secondary / secondary special,Single / not married,House / apartment,2,0,N,N,0
212700.0,531900.0,29530.0,-13403,-5873,1,Cash loans,Working,Secondary / secondary special,Single / not married,House / apartment,3,0,N,N,0
111300.0,455600.0,25410.0,-12185,-2724,1,Cash loans,Working,Secondary / secondary special,Single / not married,House / apartment,2,0,Y,Y,1
117000.0,272100.0,16430.0,-16391,-1398,4,Cash loans,Working,Higher education,Single / not married,House / apartment,1,0,N,Y,0
246500.0,718800.0,36230.0,-9935,-1933,2,Cash loans,Working,Higher education,Married,With parents,1,0,N,N,0
121800.0,402800.0,17300.0,-20562,-601,1,Cash loans,Commercial associate,Secondary / secondary special,Married,House / apartment,2,0,Y,Y,0
120300.0,448400.0,21510.0,-8868,-397,4,Cash loans,Pensioner,Incomplete higher,Married,House / apartment,3,0,Y,Y,0
259500.0,488200.0,23530.0,-23530,-583,1,Cash loans,Commercial associate,Higher education,Married,House / apartment,3,0,Y,N,0
327300.0,845900.0,42910.0,-20080,-633,1,Cash loans,Working,Higher education,Civil marriage,House / apartment,2,0,N,Y,0
203300.0,700000.0,46570.0,-10863,-2458,1,Cash loans,Working,Secondary / secondary special,Civil marriage,With parents,3,0,N,N,1
106200.0,293600.0,18480.0,-7758,-275,3,Cash loans,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,N,Y,0
114100.0,444100.0,29460.0,-20775,-2745,2,Cash loans,State servant,Secondary / secondary special,Married,With parents,2,0,Y,N,1
153300.0,545700.0,37090.0,-19030,-1353,1,Cash loans,Commercial associate,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
172900.0,420600.0,22410.0,-19386,-886,1,Cash loans,Working,Secondary / secondary special,Single / not married,House / apartment,3,0,N,Y,0
89900.0,197200.0,9450.0,-20065,-652,2,Cash loans,Working,Higher education,Married,House / apartment,1,0,Y,N,0
211400.0,739600.0,41830.0,-8860,-1314,2,Revolving loans,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,2,1,Y,N,0
153700.0,463600.0,30090.0,-13431,-697,3,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,N,0
62500.0,141000.0,7630.0,-9532,-1024,2,Cash loans,Working,Higher education,Single / not married,House / apartment,2,0,N,N,0
92600.0,248300.0,13690.0,-21541,-2453,2,Cash loans,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,N,Y,0
114500.0,299800.0,13640.0,-17687,-1796,3,Revolving loans,Working,Higher education,Single / not married,With parents,1,0,Y,Y,0
142000.0,297100.0,15730.0,-12988,-2517,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,Y,N,0
378800.0,1241200.0,64620.0,-8691,-2117,2,Cash loans,Working,Higher education,Married,House / apartment,1,0,Y,Y,0
165900.0,640700.0,32770.0,-12668,-3082,1,Revolving loans,State servant,Secondary / secondary special,Married,House / apartment,2,0,N,Y,1
96700.0,324300.0,21100.0,-12896,-411,2,Revolving loans,Working,Higher education,Civil marriage,House / apartment,2,1,N,Y,0
164400.0,662700.0,28860.0,-19395,-9721,3,Cash loans,State servant,Secondary / secondary special,Civil marriage,House / apartment,2,0,Y,N,1
123500.0,264800.0,17810.0,-17916,-1179,1,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,Y,N,0
173200.0,515500.0,21760.0,-21928,-2313,2,Revolving loans,Pensioner,Secondary / secondary special,Married,House / apartment,3,0,N,Y,0
196900.0,678400.0,45170.0,-15259,-2068,2,Cash loans,State servant,Higher education,Single / not married,House / apartment,3,0,Y,Y,1
269600.0,977400.0,54980.0,-9592,-1525,1,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,Y,Y,0
145500.0,535200.0,32250.0,-19132,-10001,1,Cash loans,Pensioner,Higher education,Married,With parents,2,0,N,N,1
334200.0,1259300.0,59020.0,-19896,-447,1,Cash loans,Working,Higher education,Married,House / apartment,1,0,Y,Y,0
231900.0,825300.0,48700.0,-16690,-1000,2,Cash loans,Working,Secondary / secondary special,Civil marriage,House / apartment,2,0,N,N,0
103400.0,212400.0,13790.0,-20060,-249,2,Cash loans,Commercial associate,Incomplete higher,Single / not married,House / apartment,2,0,N,N,0
444600.0,1634900.0,74590.0,-15606,-366,2,Cash loans,Pensioner,Secondary / secondary special,Married,House / apartment,2,0,Y,Y,0
173400.0,651400.0,29510.0,-16071,-2279,1,Cash loans,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,N,Y,0
97000.0,434800.0,21700.0,-14541,-36,2,Revolving loans,Working,Higher education,Married,With parents,2,0,N,Y,0
336500.0,1235700.0,57100.0,-8078,-1504,1,Cash loans,Working,Secondary / secondary special,Single / not married,Municipal apartment,2,0,Y,Y,0
416200.0,1521000.0,68260.0,-9404,-1831,2,Cash loans,Pensioner,Lower secondary,Single / not married,House / apartment,2,0,Y,Y,0
144900.0,462200.0,27560.0,-8175,-1061,2,Cash loans,Working,Secondary / secondary special,Widow,House / apartment,2,0,Y,N,0
114500.0,474400.0,22560.0,-17898,-735,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
135100.0,606800.0,36010.0,-12722,-246,3,Cash loans,Working,Incomplete higher,Civil marriage,House / apartment,2,0,N,N,1
210500.0,821700.0,52930.0,-15843,-4648,1,Cash loans,Working,Higher education,Married,House / apartment,3,1,N,N,0
279000.0,963600.0,56810.0,-22255,-2275,2,Cash loans,Working,Secondary / secondary special,Widow,House / apartment,1,0,N,Y,0
195900.0,394400.0,17790.0,-11676,-748,2,Cash loans,Pensioner,Secondary / secondary special,Married,House / apartment,2,1,Y,Y,0
155000.0,583100.0,33190.0,-14265,-134,2,Cash loans,Pensioner,Secondary / secondary special,Single / not married,House / apartment,2,0,Y,Y,0
311500.0,1156600.0,60410.0,-19812,-719,2,Cash loans,Commercial associate,Secondary / secondary special,Widow,House / apartment,2,0,N,Y,0
125900.0,490300.0,24970.0,-11347,-372,3,Cash loans,Commercial associate,Secondary / secondary special,Married,Municipal apartment,3,0,N,Y,1
246600.0,526800.0,26490.0,-8907,-2332,2,Cash loans,Commercial associate,Higher education,Married,House / apartment,3,0,Y,Y,0
127500.0,454500.0,30070.0,-12326,-2322,3,Cash loans,Working,Higher education,Widow,House / apartment,3,0,Y,N,1
182700.0,474700.0,29100.0,-10261,-1259,5,Cash loans,Commercial associate,Secondary / secondary special,Separated,House / apartment,2,0,N,Y,0
139100.0,535900.0,24370.0,-22611,-3963,4,Cash loans,State servant,Secondary / secondary special,Married,House / apartment,2,1,N,Y,1
143200.0,350700.0,19070.0,-20657,-363,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,Y,Y,0
121900.0,444500.0,22350.0,-17849,-1098,4,Cash loans,State servant,Secondary / secondary special,Married,House / apartment,2,0,N,Y,1
288500.0,749100.0,50510.0,-21675,-2264,1,Cash loans,State servant,Secondary / secondary special,Single / not married,House / apartment,2,0,N,Y,0
102100.0,186300.0,12560.0,-20586,-128,1,Cash loans,Working,Secondary / secondary special,Single / not married,House / apartment,2,0,N,Y,0
101700.0,357000.0,17960.0,-10668,-851,2,Cash loans,Pensioner,Secondary / secondary special,Married,House / apartment,2,1,N,Y,0
425300.0,895600.0,45810.0,-22014,-1548,5,Cash loans,Commercial associate,Secondary / secondary special,Married,House / apartment,2,0,N,N,0
240100.0,859600.0,49500.0,-16338,-834,3,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
45000.0,193500.0,10540.0,-20646,-1194,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,3,0,N,Y,1
111000.0,490300.0,23310.0,-22071,-1710,2,Revolving loans,Commercial associate,Higher education,Married,House / apartment,1,0,N,Y,0
59500.0,145000.0,8580.0,-12780,-839,1,Cash loans,Pensioner,Higher education,Single / not married,House / apartment,2,0,Y,Y,0
91600.0,365000.0,18500.0,-9438,-204,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
45000.0,124000.0,7320.0,-11333,-274,1,Cash loans,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,3,0,N,N,1
137500.0,581800.0,30240.0,-14534,-1367,1,Cash loans,Commercial associate,Secondary / secondary special,Separated,House / apartment,3,0,Y,N,1
83200.0,326700.0,19670.0,-20816,-350,1,Cash loans,Working,Secondary / secondary special,Single / not married,House / apartment,2,0,N,Y,0
151700.0,303300.0,18000.0,-21503,-4028,3,Cash loans,Pensioner,Higher education,Married,House / apartment,2,0,N,Y,0
65300.0,189300.0,10450.0,-7781,-1207,2,Cash loans,State servant,Higher education,Married,House / apartment,2,0,N,Y,0
153500.0,416100.0,25100.0,-15878,-783,1,Cash loans,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,2,0,N,Y,0
119700.0,469200.0,25330.0,-14378,-3246,2,Cash loans,Working,Higher education,Single / not married,House / apartment,3,0,Y,N,1
312100.0,907500.0,40860.0,-11239,-1391,3,Cash loans,State servant,Secondary / secondary special,Married,House / apartment,1,0,N,N,0
298200.0,1087900.0,50840.0,-9596,-316,4,Cash loans,Pensioner,Higher education,Civil marriage,House / apartment,2,0,N,Y,0
218100.0,747300.0,36170.0,-13096,-1739,3,Cash loans,Working,Secondary / secondary special,Single / not married,House / apartment,2,0,N,Y,0
125100.0,554700.0,24210.0,-22823,-2077,1,Cash loans,Commercial associate,Secondary / secondary special,Married,Rented apartment,1,1,N,Y,1
397400.0,1721500.0,104140.0,-12864,-160,1,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,Y,N,0
67700.0,200000.0,10310.0,-16007,-689,1,Revolving loans,Working,Secondary / secondary special,Married,House / apartment,2,1,N,Y,0
73000.0,274000.0,12170.0,-18968,-36,2,Cash loans,Working,Higher education,Married,House / apartment,2,0,N,N,0
141200.0,570400.0,36120.0,-13514,-694,2,Cash loans,Working,Higher education,Married,House / apartment,2,1,N,N,0
454500.0,1921200.0,114840.0,-23287,-746,1,Cash loans,Pensioner,Higher education,Married,House / apartment,1,0,N,Y,0
133100.0,264100.0,14200.0,-23137,-1816,4,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
134400.0,351500.0,17020.0,-11716,-405,3,Cash loans,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,3,0,N,Y,0
71600.0,190800.0,8770.0,-15661,-55,2,Cash loans,State servant,Secondary / secondary special,Married,House / apartment,2,0,Y,Y,0
236300.0,702500.0,37880.0,-12505,-692,2,Revolving loans,Commercial associate,Lower secondary,Single / not married,House / apartment,3,0,Y,Y,0
237200.0,535400.0,34810.0,-12247,-3189,2,Cash loans,Pensioner,Secondary / secondary special,Single / not married,House / apartment,2,0,N,N,0
218500.0,686000.0,32170.0,-8263,-930,2,Cash loans,Pensioner,Higher education,Single / not married,House / apartment,3,0,Y,Y,0
107500.0,386000.0,21920.0,-17466,-979,3,Cash loans,Commercial associate,Secondary / secondary special,Married,House / apartment,3,0,N,N,0
103400.0,325000.0,21780.0,-15748,-1156,1,Cash loans,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,2,0,Y,Y,0
77100.0,277400.0,16250.0,-8497,-1923,2,Cash loans,Working,Higher education,Widow,House / apartment,2,1,N,Y,1
153600.0,304000.0,16250.0,-12148,-1194,1,Cash loans,Working,Higher education,Single / not married,House / apartment,2,0,Y,Y,0
85800.0,357400.0,21670.0,-22266,-174,2,Cash loans,Working,Secondary / secondary special,Single / not married,Municipal apartment,2,1,N,Y,1
81700.0,354200.0,22470.0,-11520,-422,2,Cash loans,Commercial associate,Secondary / secondary special,Married,House / apartment,3,0,Y,Y,1
119200.0,413400.0,23710.0,-9998,-380,1,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
115300.0,481900.0,31160.0,-15536,-1294,1,Cash loans,Pensioner,Incomplete higher,Married,Rented apartment,1,0,N,N,0
112500.0,242400.0,13420.0,-23510,-55,1,Cash loans,Pensioner,Secondary / secondary special,Married,House / apartment,3,0,N,N,0
185900.0,734900.0,46730.0,-11560,-609,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,1,0,Y,Y,0
153200.0,325000.0,21690.0,-18472,-1706,2,Revolving loans,Commercial associate,Secondary / secondary special,Married,House / apartment,3,0,N,N,0
127500.0,370000.0,20360.0,-19910,-799,5,Cash loans,State servant,Secondary / secondary special,Married,House / apartment,2,0,N,Y,1
161400.0,431600.0,24920.0,-11489,-2246,2,Cash loans,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,2,0,N,Y,0
89700.0,303300.0,17540.0,-19373,-906,1,Cash loans,Pensioner,Secondary / secondary special,Single / not married,House / apartment,2,0,N,N,0
155200.0,405700.0,25280.0,-13580,-7006,2,Cash loans,Working,Secondary / secondary special,Civil marriage,Municipal apartment,2,0,N,Y,0
158800.0,559100.0,35450.0,-17832,-6141,1,Cash loans,Working,Secondary / secondary special,Single / not married,Rented apartment,2,0,N,N,1
69500.0,194000.0,8290.0,-17851,-2937,1,Revolving loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,N,0
242300.0,999300.0,61020.0,-16280,-5638,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,3,0,N,Y,1
94800.0,332900.0,20770.0,-9121,-418,3,Cash loans,Pensioner,Secondary / secondary special,Single / not married,House / apartment,3,1,N,N,0
154100.0,367000.0,22100.0,-21094,-2538,3,Cash loans,Working,Secondary / secondary special,Single / not married,House / apartment,3,0,N,Y,0
263600.0,713700.0,43220.0,-12825,-708,1,Cash loans,Working,Incomplete higher,Civil marriage,House / apartment,2,0,N,Y,0
233900.0,956200.0,41190.0,-10667,-2359,1,Cash loans,Pensioner,Secondary / secondary special,Separated,House / apartment,2,0,N,Y,0
149800.0,426000.0,22790.0,-8325,-855,2,Cash loans,Commercial associate,Secondary / secondary special,Married,House / apartment,3,0,N,N,0
122900.0,399000.0,25250.0,-17166,-623,2,Cash loans,Working,Lower secondary,Married,House / apartment,2,1,Y,N,1
236500.0,840100.0,55690.0,-18559,-5824,3,Cash loans,Pensioner,Secondary / secondary special,Single / not married,With parents,2,0,N,Y,1
206400.0,565300.0,27120.0,-7936,-430,2,Revolving loans,Pensioner,Higher education,Married,House / apartment,3,0,N,N,0
108100.0,280400.0,16000.0,-15900,-2595,1,Cash loans,State servant,Secondary / secondary special,Civil marriage,House / apartment,2,0,N,Y,0
99000.0,305200.0,19200.0,-11310,-2050,2,Cash loans,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,2,0,N,Y,0
52300.0,124500.0,7660.0,-18038,-660,4,Cash loans,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,2,0,N,Y,0
159100.0,408500.0,23730.0,-10472,-1119,2,Revolving loans,Working,Higher education,Separated,House / apartment,2,0,N,Y,1
141300.0,278000.0,11810.0,-18774,-281,3,Cash loans,Working,Higher education,Civil marriage,House / apartment,3,0,N,Y,0
259900.0,681100.0,41430.0,-13885,-4640,2,Cash loans,Working,Secondary / secondary special,Separated,House / apartment,3,0,Y,Y,0
176200.0,469700.0,29170.0,-22724,-6292,2,Cash loans,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,3,0,N,Y,1
287000.0,1261900.0,76720.0,-9880,-2407,1,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
103900.0,352500.0,21820.0,-13151,-3457,3,Revolving loans,Pensioner,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
260200.0,1021500.0,54350.0,-9493,-157,3,Cash loans,Commercial associate,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
113000.0,217200.0,14730.0,-22531,-884,1,Cash loans,Working,Secondary / secondary special,Civil marriage,House / apartment,2,0,N,Y,0
217200.0,453400.0,28130.0,-21769,-733,1,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,N,0
71000.0,283900.0,16200.0,-11815,-1519,2,Cash loans,Commercial associate,Lower secondary,Married,House / apartment,2,0,N,Y,1
165600.0,576900.0,38240.0,-18276,-369,2,Cash loans,Pensioner,Secondary / secondary special,Married,House / apartment,3,0,N,N,0
54600.0,126400.0,8290.0,-20803,-1513,2,Cash loans,Pensioner,Secondary / secondary special,Married,House / apartment,2,0,Y,Y,0
128900.0,372900.0,23560.0,-16592,-1940,2,Cash loans,Commercial associate,Higher education,Widow,Rented apartment,1,1,N,Y,0
183500.0,597200.0,33840.0,-16182,-259,3,Cash loans,Working,Higher education,Civil marriage,House / apartment,2,0,N,Y,0
113500.0,462800.0,25780.0,-11557,-257,2,Cash loans,Pensioner,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
87100.0,171000.0,8640.0,-9166,-65,2,Cash loans,Pensioner,Secondary / secondary special,Separated,With parents,2,0,N,Y,0
224800.0,766800.0,37210.0,-22089,-2613,1,Cash loans,Pensioner,Secondary / secondary special,Married,House / apartment,2,0,Y,Y,0
139800.0,522300.0,28890.0,-22140,-734,1,Revolving loans,Working,Secondary / secondary special,Separated,House / apartment,2,0,N,Y,0
115300.0,512000.0,29200.0,-17844,-466,2,Cash loans,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,2,0,N,N,0
150400.0,598500.0,28940.0,-13118,-2749,3,Revolving loans,State servant,Secondary / secondary special,Married,House / apartment,2,1,Y,Y,0
550400.0,1401200.0,92460.0,-13282,-282,3,Revolving loans,Working,Secondary / secondary special,Civil marriage,House / apartment,3,0,N,N,0
262200.0,974300.0,55040.0,-19337,-1017,3,Cash loans,Commercial associate,Incomplete higher,Single / not married,House / apartment,3,0,N,N,0
263400.0,1016900.0,56630.0,-22087,-2494,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,1,0,Y,Y,1
183100.0,690300.0,36810.0,-21926,-1557,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,3,1,N,Y,0
160100.0,642700.0,27960.0,-20203,-1474,2,Revolving loans,Working,Higher education,Married,House / apartment,2,1,N,N,0
45000.0,190800.0,12390.0,-17988,-312,1,Revolving loans,Pensioner,Secondary / secondary special,Single / not married,House / apartment,2,0,N,Y,0
104900.0,216700.0,10890.0,-9022,-364,2,Revolving loans,Working,Secondary / secondary special,Single / not married,House / apartment,2,0,N,N,1
115800.0,241200.0,14160.0,-10267,-1595,1,Revolving loans,State servant,Secondary / secondary special,Widow,With parents,3,0,Y,Y,0
57700.0,227900.0,13170.0,-22110,-43,1,Cash loans,Pensioner,Secondary / secondary special,Single / not married,House / apartment,2,0,N,Y,0
82600.0,205000.0,11730.0,-17416,-3713,2,Cash loans,Working,Higher education,Married,House / apartment,1,0,N,N,0
54700.0,107100.0,5960.0,-7818,-788,1,Cash loans,Working,Secondary / secondary special,Married,Rented apartment,3,0,N,Y,0
144500.0,416600.0,19460.0,-9300,-984,2,Cash loans,Working,Secondary / secondary special,Single / not married,House / apartment,3,0,Y,Y,0
221800.0,890200.0,43880.0,-18333,-546,2,Cash loans,Pensioner,Secondary / secondary special,Married,House / apartment,2,0,Y,N,0
